Course ID,Course Code,Course Title,Grade,Course Type,Prerequisite,Credit Value,Course Description,Units Overview,Assessment Breakdown
ICS3U,ICS3U,"Introduction to Computer Science, Grade 11, University (ICS3U)",11,University,None,1,"This course introduces students to computer programming concepts and practices. Students will write and test computer programs, using various problem-solving strategies. They will learn the fundamentals of program design and apply a software development life-cycle model to a software development project. Students will also learn about computer environments and systems, and explore environmental issues related to computers, safe computing practices, emerging technologies, and post-secondary opportunities in computer-related fields.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Programming Concepts and Skills""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Software Development""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Computer Environments and Systems""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Computers and Society""},""Time"":{""stringValue"":""25 Hours""}}}}]}","{""fields"":{""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""}}}}}}"
ICS4U,ICS4U,"Computer Science, Grade 12, University (ICS4U)",12,University,ICS3U,1,"This course introduces students to computer programming concepts and practices. Students will write and test computer programs, using various problem-solving strategies. They will learn the fundamentals of program design and apply a software development life-cycle model to a software development project. Students will also learn about computer environments and systems, and explore environmental issues related to computers, safe computing practices, emerging technologies, and post-secondary opportunities in computer-related fields.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Programming Concepts and Skills""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Software Development""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Designing Modular Programs""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Topics in Computer Science""},""Time"":{""stringValue"":""25 Hours""}}}}]}","{""fields"":{""termPercentage"":{""integerValue"":""70""},""finalAssessmentPercentage"":{""integerValue"":""30""},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Knowledge and UNderstanding"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""}}}}}}"
MCR3U,MCR3U,"Functions 11, University (MCR3U)",11,University,MPM2D,1,"This course introduces the mathematical concept of the function by extending students’ experiences with linear and quadratic relations. Students will investigate properties of discrete and continuous functions, including trigonometric and exponential functions; represent functions numerically, algebraically, and graphically; solve problems involving
applications of functions; investigate inverse functions; and develop facility in determining equivalent algebraic expressions. Students will reason mathematically and communicate their thinking as they solve multi-step problems.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Characteristics of Functions""},""Time"":{""stringValue"":""27 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Exponential Functions""},""Time"":{""stringValue"":""27 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Discrete Functions""},""Time"":{""stringValue"":""27 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Trigonometric Functions""},""Time"":{""stringValue"":""27 Hours""}}}}]}","{""fields"":{""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""}}}},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""}}}}}}"
MCV4U,MCV3U,"Calculus and Vectors 12, University (MCV4U)",12,,MHF4U,1,"This course extends students’ experience with functions. Students will investigate the properties of polynomial, rational, logarithmic, and trigonometric functions; develop techniques for combining functions; broaden their understanding of rates of change; and develop facility in applying these concepts and skills. Students will also refine their use of the mathematical processes necessary for success in senior mathematics. This course is intended both for students taking the Calculus and Vectors course as a prerequisite for a university program and for those wishing to consolidate their understanding of mathematics before proceeding to any one of a variety of university programs.","{""values"":[{""mapValue"":{""fields"":{""Time"":{""stringValue"":""36 Hours""},""Title"":{""stringValue"":""Rate of Change""},""Unit"":{""integerValue"":""1""}}}},{""mapValue"":{""fields"":{""Time"":{""stringValue"":""36 Hours""},""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Derivatives and Their Applications""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Geometry and Algebra of Vectors""},""Time"":{""stringValue"":""36 Hours""}}}}]}","{""fields"":{""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""}}}},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""}}}}}}"
MHF4U,MHF4U,"Advanced Functions 12, University (MHF4U)",12,University,MPM2D,1,"This course extends students’ experience with functions. Students will investigate the properties of polynomial, rational, logarithmic, and trigonometric functions; develop techniques for combining functions; broaden their understanding of rates of change; and develop facility in applying these concepts and skills. Students will also refine their use of the mathematical processes necessary for success in senior mathematics. This course is intended both for students taking the Calculus and Vectors course as a prerequisite for a university program and for those wishing to consolidate their understanding of mathematics before proceeding to any one of a variety of university programs.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Exponential and Logarithmic Functions""},""Time"":{""stringValue"":""27 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Trigonometric Functions""},""Time"":{""stringValue"":""27 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Polynomial and Rational Functions""},""Time"":{""stringValue"":""27 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Characteristics of Functions""},""Time"":{""stringValue"":""27 Hours""}}}}]}","{""fields"":{""termPercentage"":{""integerValue"":""70""},""finalAssessmentPercentage"":{""integerValue"":""30""},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""}}}},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""}}}}}}"
MPM1D,MPM1D,"Principles of Mathematics 9, Academic (MPM1D)",9,Academic,None,1,"This course enables students to develop an understanding of mathematical concepts related to algebra, analytic geometry, and measurement and geometry through investigation, the effective use of technology, and abstract reasoning. Students will investigate relationships, which they will then generalize as equations of lines, and will determine the connections between different representations of a linear relation. They will also explore relationships that emerge from the measurement of three-dimensional figures and two-dimensional shapes. Students will reason mathematically and communicate their thinking as they solve multi-step problems.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Time"":{""stringValue"":""27 Hours""},""Title"":{""stringValue"":""Number Sense and Algebra""}}}},{""mapValue"":{""fields"":{""Title"":{""stringValue"":""Linear Relations""},""Unit"":{""integerValue"":""2""},""Time"":{""stringValue"":""27 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Analytic Geometry""},""Time"":{""stringValue"":""27 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Measurement and Geometry""},""Time"":{""stringValue"":""27 Hours""}}}}]}","{""fields"":{""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""termPercentage"":{""integerValue"":""70""},""finalAssessmentPercentage"":{""integerValue"":""30""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""}}}},""Category Weights"":{""mapValue"":{""fields"":{""Knowledge and Understanding"":{""stringValue"":""25%""},""Thinking"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""}}}}}}"
MPM2D,MPM2D,"Principles of Mathematics 10, Academic (MPM2D)",10,Academic,MPM1D,1,"This course enables students to broaden their understanding of relationships and extend their
problem-solving and algebraic skills through investigation, the effective use of technology, and
abstract reasoning. Students will explore quadratic relations and their applications; solve and
apply linear systems; verify properties of geometric figures using analytic geometry; and investigate the trigonometry of right and acute triangles. Students will reason mathematically and
communicate their thinking as they solve multi-step problems.","{""values"":[{""mapValue"":{""fields"":{""Time"":{""stringValue"":""27 Hours""},""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Modelling Linear Relations""}}}},{""mapValue"":{""fields"":{""Title"":{""stringValue"":""Quadratics""},""Time"":{""stringValue"":""27 Hours""},""Unit"":{""integerValue"":""2""}}}},{""mapValue"":{""fields"":{""Time"":{""stringValue"":""27 Hours""},""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Analytic Geometry""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Trigonometry""},""Time"":{""stringValue"":""27 Hours""}}}}]}","{""fields"":{""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""}}}},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final grade for this course will be determined as follows:""},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""}}}}}}"
SBI3U,SBI3U,"Biology 11, University (SBI3U)",11,University,SNC2D,1,"This course furthers students’ understanding of the processes that occur in biological systems. Students will study theory and conduct investigations in the areas of biodiversity; evolution; genetic processes; the structure and function of animals; and the anatomy, growth, and function of plants. The course focuses on the theoretical aspects of the topics under study, and helps students refine skills related to scientific investigation.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Diversity of Living Things""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Evolution""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Genetic Processes""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Animals: Structure and Function""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""5""},""Title"":{""stringValue"":""Plants: Anatomy, Growth, and Function""},""Time"":{""stringValue"":""20 Hours""}}}}]}","{""fields"":{""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Knowledge and Application"":{""stringValue"":""25%""}}}},""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}}}}"
SBI4U,SBI4U,"Biology 12, University (SBI4U)",12,University,SBI3U,1,"This course provides students with the opportunity for in-depth study of the concepts and processes that occur in biological systems. Students will study theory and conduct investigations in the areas of biochemistry, metabolic processes, molecular genetics, homeostasis, and population dynamics. Emphasis will be placed on the achievement of
detailed knowledge and the refinement of skills needed for further study in various branches of the life sciences and related fields","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Biochemistry""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Metabolic Processes""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Molecular Genetics""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Homeostasis""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""5""},""Title"":{""stringValue"":""Population Dynamics""},""Time"":{""stringValue"":""25 Hours""}}}}]}","{""fields"":{""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final grade for this course will be determined as follows:""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""}}}}}}"
SCH3U,SCH3U," Chemistry 11, University (SCH3U)",11,University,SNC2D,1,"This course enables students to deepen their understanding of chemistry through the study of the properties of chemicals and chemical bonds; chemical reactions and quantitative relationships in those reactions; solutions and solubility; and atmospheric chemistry and the behaviour of gases. Students will further develop their analytical skills and investigate the qualitative and quantitative properties of matter, as well as the impact of some common chemical reactions on society and the environment.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Matter, Chemical Trends, and Chemical Bonding""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Chemical Reactions""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Quantities in Chemical Reactions""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Solutions and Solubility""},""Time"":{""stringValue"":""20 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""5""},""Title"":{""stringValue"":""Gases and Atmospheric Chemistry""},""Time"":{""stringValue"":""20 Hours""}}}}]}","{""fields"":{""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final grade for this course will be determined as follows:""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""}}}}}}"
